state,2020-04-26 00:00:00,2020-05-03 00:00:00,2020-05-10 00:00:00,2020-05-17 00:00:00,2020-05-24 00:00:00,2020-05-31 00:00:00,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,2020-06-28 00:00:00,2020-07-05 00:00:00,2020-07-12 00:00:00,2020-07-19 00:00:00,2020-07-26 00:00:00,2020-08-02 00:00:00,2020-08-09 00:00:00,2020-08-16 00:00:00,2020-08-23 00:00:00,2020-08-30 00:00:00,2020-09-06 00:00:00,2020-09-13 00:00:00,2020-09-20 00:00:00,2020-09-27 00:00:00,2020-10-04 00:00:00,2020-10-11 00:00:00,2020-10-18 00:00:00,2020-10-25 00:00:00,2020-11-01 00:00:00,2020-11-08 00:00:00,2020-11-15 00:00:00,2020-11-22 00:00:00,2020-11-29 00:00:00,2020-12-06 00:00:00,2020-12-13 00:00:00,2020-12-20 00:00:00,2020-12-27 00:00:00,2021-01-03 00:00:00,2021-01-10 00:00:00,2021-01-17 00:00:00,2021-01-24 00:00:00,2021-01-31 00:00:00,2021-02-07 00:00:00,2021-02-14 00:00:00,2021-02-21 00:00:00,2021-02-28 00:00:00,2021-03-07 00:00:00,2021-03-14 00:00:00,2021-03-21 00:00:00,2021-03-28 00:00:00,2021-04-04 00:00:00,2021-04-11 00:00:00,2021-04-18 00:00:00,2021-04-25 00:00:00,2021-05-02 00:00:00,2021-05-09 00:00:00,2021-05-16 00:00:00,2021-05-23 00:00:00,2021-05-30 00:00:00,2021-06-06 00:00:00,2021-06-13 00:00:00,2021-06-20 00:00:00,2021-06-27 00:00:00,2021-07-04 00:00:00
Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,25.0,47.0,37.0,32.0,102.0,346.0,715.0,955.0,502.0,273.0,211.0,229.0,123.0,130.0,94.0,124.0,91.0,142.0,107.0,109.0,86.0,104.0,67.0,49.0,58.0,70.0,37.0,35.0,12.0,23.0,11.0,1.0,6.0,9.0,5.0,4.0,6.0,6.0,8.0,6.0,54.0,77.0,156.0,283.0,432.0,295.0,227.0,252.0,144.0,141.0,138.0,151.0,52.0,32.0,14.0
Andhra Pradesh,428.0,388.0,425.0,314.0,685.0,999.0,1398.0,2594.0,3833.0,5414.0,9536.0,17374.0,44062.0,61538.0,66831.0,64777.0,63399.0,68948.0,73167.0,70256.0,60189.0,50975.0,44263.0,37503.0,28629.0,24880.0,19322.0,17382.0,12225.0,8137.0,5971.0,4242.0,3720.0,3260.0,2427.0,2138.0,1839.0,1135.0,1028.0,868.0,630.0,464.0,396.0,589.0,757.0,1007.0,1803.0,4444.0,8136.0,15960.0,33549.0,65471.0,100176.0,144337.0,145881.0,150740.0,109682.0,77621.0,53711.0,41843.0,30705.0,24126.0,20430.0
Arunachal Pradesh,0.0,0.0,0.0,0.0,1.0,37.0,43.0,47.0,42.0,82.0,82.0,309.0,476.0,548.0,443.0,541.0,565.0,654.0,1037.0,1047.0,1289.0,1619.0,1552.0,1577.0,1350.0,863.0,641.0,537.0,403.0,245.0,225.0,122.0,120.0,125.0,58.0,40.0,40.0,41.0,10.0,10.0,2.0,2.0,4.0,0.0,3.0,1.0,2.0,3.0,4.0,29.0,89.0,579.0,1090.0,1410.0,1576.0,2245.0,2911.0,2335.0,2035.0,1775.0,1844.0,2170.0,2626.0
Assam,7.0,19.0,31.0,254.0,870.0,1257.0,1427.0,1354.0,1911.0,3836.0,5070.0,6910.0,8105.0,10640.0,15988.0,17844.0,13910.0,14326.0,20128.0,16548.0,14982.0,13657.0,16334.0,7943.0,7004.0,3576.0,2384.0,2286.0,1538.0,1252.0,1056.0,1179.0,922.0,762.0,564.0,379.0,276.0,244.0,167.0,144.0,82.0,86.0,95.0,144.0,122.0,131.0,171.0,271.0,379.0,1357.0,3858.0,11873.0,20887.0,32493.0,35910.0,40641.0,38003.0,29091.0,24616.0,23400.0,18391.0,16860.0,16103.0
Bihar,187.0,117.0,566.0,1196.0,1171.0,1266.0,1458.0,1214.0,1477.0,2477.0,3582.0,9928.0,11347.0,18194.0,21278.0,26120.0,18003.0,13026.0,12926.0,11005.0,10121.0,10368.0,9335.0,8276.0,8094.0,8383.0,5321.0,5047.0,4858.0,3578.0,4306.0,3988.0,4207.0,3897.0,3805.0,3202.0,2767.0,2109.0,1238.0,837.0,643.0,444.0,376.0,443.0,219.0,247.0,468.0,1161.0,2909.0,11960.0,35954.0,75374.0,93305.0,96111.0,64798.0,40559.0,18599.0,8024.0,4531.0,2672.0,1714.0,1304.0,729.0
Chandigarh,58.0,75.0,22.0,34.0,64.0,23.0,38.0,54.0,24.0,31.0,90.0,142.0,161.0,227.0,347.0,583.0,767.0,1209.0,1517.0,2040.0,2254.0,1584.0,980.0,721.0,501.0,395.0,441.0,607.0,611.0,955.0,655.0,680.0,646.0,472.0,379.0,442.0,386.0,252.0,183.0,213.0,161.0,160.0,177.0,322.0,519.0,738.0,1244.0,1678.0,1955.0,2488.0,2968.0,4634.0,5503.0,5866.0,5391.0,3426.0,1611.0,845.0,471.0,347.0,201.0,114.0,105.0
Chhattisgarh,5.0,10.0,1.0,137.0,226.0,476.0,626.0,584.0,476.0,551.0,736.0,1349.0,1936.0,2245.0,2428.0,3190.0,5169.0,8532.0,14417.0,18600.0,22471.0,18227.0,18939.0,18858.0,18244.0,16089.0,12679.0,12292.0,10442.0,11684.0,13037.0,10855.0,10181.0,10505.0,8058.0,7330.0,6916.0,4608.0,3148.0,8776.0,2237.0,1591.0,1802.0,1687.0,1679.0,2756.0,6299.0,14787.0,25856.0,68980.0,99719.0,107201.0,104906.0,97754.0,65233.0,38105.0,21951.0,11931.0,6928.0,3819.0,2722.0,2444.0,2296.0
Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0.0,1.0,0.0,17.0,12.0,57.0,92.0,157.0,143.0,169.0,248.0,293.0,316.0,336.0,277.0,185.0,229.0,188.0,162.0,109.0,74.0,82.0,28.0,43.0,26.0,20.0,11.0,32.0,13.0,10.0,14.0,4.0,6.0,5.0,2.0,7.0,4.0,3.0,0.0,2.0,2.0,4.0,4.0,25.0,36.0,101.0,127.0,309.0,774.0,1740.0,1369.0,1063.0,630.0,290.0,347.0,213.0,49.0,49.0,22.0,34.0,17.0
Delhi,1204.0,2420.0,2791.0,3577.0,5639.0,9105.0,11304.0,17788.0,23442.0,17012.0,13721.0,10661.0,7949.0,7185.0,7411.0,7801.0,8088.0,11350.0,16827.0,25876.0,28830.0,24923.0,20108.0,18629.0,21159.0,24802.0,34186.0,44078.0,51386.0,40947.0,38625.0,27802.0,15926.0,10444.0,6180.0,4354.0,3353.0,2382.0,1556.0,1217.0,960.0,880.0,959.0,1337.0,1723.0,2474.0,3872.0,8673.0,16547.0,42042.0,113575.0,176784.0,169770.0,135679.0,77180.0,27808.0,9427.0,4217.0,2021.0,1284.0,1507.0,785.0,570.0
Goa,0.0,0.0,13.0,35.0,15.0,197.0,256.0,231.0,374.0,556.0,684.0,1116.0,1202.0,1507.0,2013.0,3133.0,2451.0,2763.0,3902.0,3730.0,3837.0,3552.0,3326.0,3034.0,2466.0,1631.0,1595.0,1290.0,929.0,903.0,941.0,885.0,731.0,671.0,619.0,635.0,560.0,555.0,522.0,489.0,482.0,355.0,330.0,409.0,429.0,490.0,674.0,928.0,1350.0,2976.0,4482.0,8923.0,18171.0,22858.0,18329.0,10297.0,9580.0,4571.0,3058.0,2181.0,1654.0,1389.0,1313.0
